Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
28792053,08/31/2014 08:51:00 AM,,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10469,3208 FISH AVENUE,FISH AVENUE,BURKE AVENUE,GIVAN AVENUE,,,ADDRESS,BRONX,,N/A,Open,,,12 BRONX,BRONX,1026305,257115,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.87229552896113,-73.84793759065215,"(40.87229552896113, -73.84793759065215)"
28792007,08/31/2014 04:43:00 AM,,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10465,420 QUINCY AVENUE,QUINCY AVENUE,SAMPSON AVENUE,DEWEY AVENUE,,,ADDRESS,BRONX,,N/A,Open,,,10 BRONX,BRONX,1033783,238119,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.820118408351505,-73.8210390430372,"(40.820118408351505, -73.8210390430372)"
28784095,08/30/2014 12:55:00 PM,,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10472,1144 LELAND AVENUE,LELAND AVENUE,WATSON AVENUE,GLEASON AVENUE,,,ADDRESS,BRONX,,N/A,Open,,,09 BRONX,BRONX,1022202,241393,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.82916194564593,-73.86286218431077,"(40.82916194564593, -73.86286218431077)"
28781699,08/29/2014 11:44:00 PM,08/30/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10461,,,,,SAINT PETERS AVENUE,MACLAY AVENUE,INTERSECTION,BRONX,,N/A,Closed,,08/30/2014 12:00:00 PM,10 BRONX,BRONX,1026034,245931,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.84160012838688,-73.8489871848231,"(40.84160012838688, -73.8489871848231)"
28782616,08/29/2014 02:17:00 PM,08/30/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10469,2911 WILSON AVENUE,WILSON AVENUE,SEXTON PLACE,ADEE AVENUE,,,ADDRESS,BRONX,,N/A,Closed,,08/30/2014 12:00:00 PM,11 BRONX,BRONX,1026007,255594,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.868122269935185,-73.84902457519055,"(40.868122269935185, -73.84902457519055)"
28778498,08/29/2014 01:26:00 PM,08/30/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10472,1556 EAST 172 STREET,EAST 172 STREET,BOYNTON AVENUE,WARD AVENUE,,,ADDRESS,BRONX,,N/A,Closed,,08/30/2014 12:00:00 PM,09 BRONX,BRONX,1017976,242185,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.8313529045814,-73.87812863942105,"(40.8313529045814, -73.87812863942105)"
28781775,08/29/2014 09:13:00 AM,08/30/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10452,233 WEST 167 STREET,WEST 167 STREET,WEST 168 STREET,SEDGWICK AVENUE,,,ADDRESS,BRONX,,N/A,Closed,,08/30/2014 12:00:00 PM,04 BRONX,BRONX,1004067,245058,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.83928061784365,-73.92838130696683,"(40.83928061784365, -73.92838130696683)"
28780091,08/29/2014 08:40:00 AM,08/30/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10457,1710 WEBSTER AVENUE,WEBSTER AVENUE,EAST 173 STREET,EAST 174 STREET,,,ADDRESS,BRONX,,N/A,Closed,,08/30/2014 12:00:00 PM,03 BRONX,BRONX,1011023,246634,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.84358792612815,-73.90323602974483,"(40.84358792612815, -73.90323602974483)"
28776872,08/28/2014 03:18:00 PM,08/29/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10468,2308 GRAND AVENUE,GRAND AVENUE,NORTH STREET,WEST 184 STREET,,,ADDRESS,BRONX,,N/A,Closed,,08/29/2014 12:00:00 PM,07 BRONX,BRONX,1010576,252775,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.86044448219175,-73.90482747803571,"(40.86044448219175, -73.90482747803571)"
28773251,08/28/2014 01:00:00 PM,08/29/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10469,925 BURKE AVENUE,BURKE AVENUE,RADCLIFF AVENUE,COLDEN AVENUE,,,ADDRESS,BRONX,,N/A,Closed,,08/29/2014 12:00:00 PM,12 BRONX,BRONX,1022907,256755,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.871322976546416,-73.8602261294868,"(40.871322976546416, -73.8602261294868)"
